,STATION,TIME,ENTRIES,EXITS,ENTRIES_COUNT,EXITS_COUNT,FTRAFFIC
4097,NECK RD,Thu Mor,22281093.031746034,1802922.238095238,225.68253968253967,8.571428571428571,234.25396825396825
4098,NECK RD,Tue Aft,22280026.404761903,1802646.7222222222,88.42063492063492,65.11904761904762,153.53968253968253
4099,NECK RD,Tue Mor,22279768.912698414,1802559.2301587302,230.6031746031746,8.619047619047619,239.22222222222223
4100,NECK RD,Wed Aft,22280685.53968254,1802824.611111111,90.41269841269842,62.785714285714285,153.1984126984127
4101,NECK RD,Wed Mor,22280432.007936507,1802740.8333333333,223.76190476190476,8.507936507936508,232.26984126984127
4102,NEPTUNE AV,Fri Aft,2387906.7407407407,944202.1851851852,126.51851851851852,36.425925925925924,162.94444444444446
4103,NEPTUNE AV,Fri Mor,2387723.185185185,944152.3333333334,201.40740740740742,46.18518518518518,247.59259259259258
4104,NEPTUNE AV,Mon Aft,2385631.1481481483,943380.9444444445,106.03703703703704,29.925925925925927,135.96296296296296
4105,NEPTUNE AV,Mon Mor,2385481.1481481483,943338.4814814815,153.33333333333334,37.48148148148148,190.8148148148148
4106,NEPTUNE AV,Sat Aft,2385047.6296296297,943179.7037037037,61.925925925925924,20.444444444444443,82.37037037037037
4107,NEPTUNE AV,Sat Mor,2384955.0,943151.4074074074,39.25925925925926,13.37037037037037,52.629629629629626
4108,NEPTUNE AV,Sun Aft,2385246.1481481483,943259.3703703703,50.0,18.074074074074073,68.07407407407408
4109,NEPTUNE AV,Sun Mor,2385171.962962963,943234.2222222222,29.22222222222222,6.777777777777778,36.0
4110,NEPTUNE AV,Thu Aft,2387339.6666666665,943991.3888888889,123.05555555555556,38.53703703703704,161.59259259259258
4111,NEPTUNE AV,Thu Mor,2387163.037037037,943937.4444444445,214.62962962962962,42.7037037037037,257.3333333333333
4112,NEPTUNE AV,Tue Aft,2386180.222222222,943572.7777777778,127.94444444444444,37.851851851851855,165.7962962962963
4113,NEPTUNE AV,Tue Mor,2386963.1,944133.8666666667,194.73333333333332,44.13333333333333,238.86666666666667
4114,NEPTUNE AV,Wed Aft,2386763.037037037,943784.3703703703,133.2037037037037,37.148148148148145,170.35185185185185
4115,NEPTUNE AV,Wed Mor,2387540.033333333,944345.2,193.36666666666667,42.8,236.16666666666666
4116,NEREID AV,Fri Aft,4163201.8703703703,1687770.0185185184,222.66666666666666,96.87037037037037,319.537037037037
4117,NEREID AV,Fri Mor,4162873.222222222,1687635.962962963,534.2222222222222,63.333333333333336,597.5555555555555
4118,NEREID AV,Mon Aft,4158149.037037037,1685875.6296296297,185.27777777777777,74.74074074074075,260.01851851851853
4119,NEREID AV,Mon Mor,4157878.037037037,1685772.6666666667,418.9259259259259,50.074074074074076,469.0
4120,NEREID AV,Sat Aft,4156660.7592592593,1685350.888888889,164.2962962962963,67.51851851851852,231.8148148148148
4121,NEREID AV,Sat Mor,4156415.4444444445,1685253.6296296297,151.14814814814815,35.77777777777778,186.92592592592592
4122,NEREID AV,Sun Aft,4157227.203703704,1685606.5,125.98148148148148,49.5,175.4814814814815
4123,NEREID AV,Sun Mor,4065409.1666666665,1773063.4166666667,91.5,20.666666666666668,112.16666666666667
4124,NEREID AV,Thu Aft,4161951.4814814813,1687287.3148148148,215.77777777777777,87.53703703703704,303.31481481481484
4125,NEREID AV,Thu Mor,4161634.111111111,1687167.3333333333,557.4074074074074,66.85185185185185,624.2592592592592
4126,NEREID AV,Tue Aft,4159396.4814814813,1686312.2777777778,229.35185185185185,94.75925925925925,324.1111111111111
4127,NEREID AV,Tue Mor,4159059.111111111,1686182.6296296297,579.6666666666666,64.44444444444444,644.1111111111111
4128,NEREID AV,Wed Aft,4160695.203703704,1686807.0740740742,220.61111111111111,96.27777777777777,316.8888888888889
4129,NEREID AV,Wed Mor,4123779.2666666666,1672754.1333333333,526.4333333333333,58.766666666666666,585.2
4130,NEVINS ST,Fri Aft,3122414.1611111113,2993124.3388888887,335.2388888888889,262.0888888888889,597.3277777777778
4131,NEVINS ST,Fri Mor,3121807.9555555554,2992608.8388888887,153.99444444444444,209.15,363.14444444444445
4132,NEVINS ST,Mon Aft,3118088.6277777776,2989063.561111111,253.83333333333334,197.42222222222222,451.25555555555553
4133,NEVINS ST,Mon Mor,3117636.316666667,2988674.3,116.16666666666667,158.87222222222223,275.0388888888889
4134,NEVINS ST,Sat Aft,3116900.3,2987937.577777778,170.2888888888889,153.46666666666667,323.75555555555553
4135,NEVINS ST,Sat Mor,3127429.620111732,2997128.5195530728,53.58659217877095,77.95530726256983,131.54189944134077
4136,NEVINS ST,Sun Aft,3117355.1333333333,2988348.738888889,116.68333333333334,111.29444444444445,227.9777777777778
4137,NEVINS ST,Sun Mor,3117156.35,2988142.3777777776,35.044444444444444,44.72222222222222,79.76666666666667
4138,NEVINS ST,Thu Aft,3121290.4,2992075.5444444446,320.15,254.11111111111111,574.2611111111111
4139,NEVINS ST,Thu Mor,3120710.3444444444,2991575.111111111,162.15,209.82777777777778,371.97777777777776
4140,NEVINS ST,Tue Aft,3119105.5444444446,2990021.966666667,310.3333333333333,242.52777777777777,552.8611111111111
